exhibitor_id,name,booths,hall,description,seeking_funding,funding_amount,investment_stage,revenue,logo_file,featured,tags
0014V00003waMPDQA2,.simstechnology,54668,X,"A personal safety wearable device that detects and alerts you when someone or something is approaching you from behind.  Our camera-based detection patented device will give you peace of mind anywhere and anytime whether you're on a walk out alone at night, or just going about your day, the. sims wearable will have your back  ""Live Freely""",No,,,,0014V00003waMPDQA2.jpg,,
0013A00001a1LD1QAM,1NCE,10171,A,"1NCE offers a software platform for connected products that delivers future-proof, hassle-free IoT in +170 countries. The software platform enables customers to easily, securely, and reliably collect device data and turn it into actionable intelligence. 20,000+ customers trust 1NCE with 22 million connected products worldwide.",No,,,,0013A00001a1LD1QAM.jpg,,
0014V00003AxS1IQAV,2Pi,15556,B,"2Pi develop advanced metasurface flat optics technology. We pioneer a new class of optical components and solutions with unprecedented performance, ultra-compactness, and light-weight for use in consumer electronics, industry automation, automotive and beyond.",,,,,0014V00003AxS1IQAV.jpg,,
001Pp00001MsWu1IAF,4rge.ai (by Triangle Man LLC),8072,A,"Groundbreaking motion tracking solutions for the 2030s! Introducing new and intelligent motion tracking solutions including the Trifecta-K series of high-performance IMUs and Trifecta-M series of satellite-inertial navigation systems, 4rge.ai will fuel new industrial and consumer automation solutions over the next decade and beyond.",Yes,2;000;001-15;000;000,Pre-seed,<500;000,001Pp00001MsWu1IAF.png,,
001Pp00001SQnfZIAT,75way Technologies Pvt. Ltd.,8700,A,"75way offers a broad range of digital software services serving Enterprise, SME's, Startup Industries:  AI/ML Software Development   Web applications & software development.  Mobile application development.  Custom software applications and startup solution support.  Blockchain applications.   IOT App Development",No,,,,001Pp00001SQnfZIAT.png,,
001Pp00000lbvNeIAI,"Abe Kogyo Co., Ltd",8774,A,"Our company, with over 80 years of history, experts in \""wooden doors,\"" \""fittings,\"" and \""custom furniture.\""  We are committed to the beauty and functionality of wood, pursuing deep knowledge of its appeal and utilizing the advantage of natural resource to our daily lives.",No,,,,001Pp00000lbvNeIAI.jpg,,
001Pp00001WoqF3IAJ,Abitat,62242,M,,Yes,250;000-2;000;000,Seed,<500;000,,,
001Pp000003MuMoIAK,ACE Ontario Tech University,4566,NN,"ACE is North America’s premier Climatic Testing Facility. Creating controlled and repeatable weather in a full-scale lab environment is what we do. We can create -40C to +60C as well as wind, rain, snow and fog in our Climatic Wind Tunnel. ACE has the facility and the expertise that companies need to develop & validate their products.",,,,,001Pp000003MuMoIAK.jpg,,
001Pp00001NbmBFIAZ,ACELIFE CO LTD,50523,X,"We, Acelife Co, are the leading manufacturer of Digital toilet, Smart toilet, Bidet toilet seat and Espresso machine in KOREA. We are specialized in OEM/ODM business for years.   The products got Int'l standard such as cUPC, WATER SENSE, ETL, CE, PSE, KC approvals, ISO 14001 and 9001",No,,,,001Pp00001NbmBFIAZ.jpg,,
001Pp00000p2DVHIA2,"actnano, Inc.",Westgate Hospitality Suites,N,"actnano is the magic behind the tech that advanced electronics rely on. Unlike traditional conformal coatings, our advanced PCBA protective technologiescan be applied directly on connectors, antennas, LEDs and high-heat generating components eliminating expensive masking, allowing for full protection while saving time and reducing costs.",,,,,001Pp00000p2DVHIA2.png,,
001Pp00001Ui5YTIAZ,Adjusted Coaching d.o.o.,60658,M,,,,,,001Pp00001Ui5YTIAZ.png,,
