exhibitor_id,name,booths,hall,description,seeking_funding,funding_amount,investment_stage,revenue,logo_file,featured,tags
0013A00001a1LD1QAM,1NCE,10171,A,"1NCE offers a software platform for connected products that delivers future-proof, hassle-free IoT in +170 countries. The software platform enables customers to easily, securely, and reliably collect device data and turn it into actionable intelligence. 20,000+ customers trust 1NCE with 22 million connected products worldwide.",No,,,,0013A00001a1LD1QAM.jpg,,
0014V00003AxS1IQAV,2Pi,15556,B,"2Pi develop advanced metasurface flat optics technology. We pioneer a new class of optical components and solutions with unprecedented performance, ultra-compactness, and light-weight for use in consumer electronics, industry automation, automotive and beyond.",,,,,0014V00003AxS1IQAV.jpg,,
0013000001KaLvcAAF,3M,8505,A,"At 3M, we’re applying our ideas and science to solve problems that connect our customers with new possibilities.    With solutions powering the next generation of e-vehicles, film technology revolutionizing extended reality hardware, and sustainable factory automation, 3M Science is actively working on what’s next.",,,,,0013000001KaLvcAAF.png,,
001Pp00001MsWu1IAF,4rge.ai (by Triangle Man LLC),8072,A,"Groundbreaking motion tracking solutions for the 2030s! Introducing new and intelligent motion tracking solutions including the Trifecta-K series of high-performance IMUs and Trifecta-M series of satellite-inertial navigation systems, 4rge.ai will fuel new industrial and consumer automation solutions over the next decade and beyond.",Yes,2;000;001-15;000;000,Pre-seed,<500;000,001Pp00001MsWu1IAF.png,,
001Pp00001SQnfZIAT,75way Technologies Pvt. Ltd.,8700,A,"75way offers a broad range of digital software services serving Enterprise, SME's, Startup Industries:  AI/ML Software Development   Web applications & software development.  Mobile application development.  Custom software applications and startup solution support.  Blockchain applications.   IOT App Development",No,,,,001Pp00001SQnfZIAT.png,,
0013000001JxrIAAAZ,Abalta Technologies,Westgate Hospitality Suites,N,"At Abalta, we specialize in mobility software solutions with expertise in connectivity, cloud backend, and smart device integration.  Our expert teams create products and services that improve the user experience and respond to the complex needs of our global clients.    Connected car, Mobility, Infotainment, Automotive Software",,,,,0013000001JxrIAAAZ.png,,
001Pp00001VdNnZIAV,ABZ Innovation Ltd.,50359,X,"ABZ Innovation develops and manufactures heavy-duty action drones to European R&D standards for global markets. Customizable systems handle spraying, fertilizing, monitoring and cleaning, surpassing traditional machinery with fast, precise, sustainable results and strong partner support in more than 20 countries.",No,,,,001Pp00001VdNnZIAV.png,,
0014V000046Q2sZQAS,AC Future,10321,A,"AC Future is pioneering flexible, mobile, and sustainable housing solutions, with plans to debut the AI Transformable Home (Ai-TH) at CES 2025. The Ai-TH is a cutting-edge, expandable smart home designed for zero-emissions, off-grid living, offering up to 400 square feet of living space. Experience the future of living at booth 10515.",Yes,15;000;001-50;000;000,Series A,<500;000,0014V000046Q2sZQAS.png,,
0013000001KaLvNAAV,Ace Computers,15046,B,Ace is showing our latest deskside and mobile gaming systems along with full-featured flight and racing simulation systems and our Ace exclusive Generative AI Workstation and low-cost AI Server. Our forensics division is showing our latest portable forensic workstation and we're also showing the latest in fully ruggedized mobile phones.,,,,,0013000001KaLvNAAV.png,,
001Pp000003MuMoIAK,ACE Ontario Tech University,4566,NN,"ACE is North America’s premier Climatic Testing Facility. Creating controlled and repeatable weather in a full-scale lab environment is what we do. We can create -40C to +60C as well as wind, rain, snow and fog in our Climatic Wind Tunnel. ACE has the facility and the expertise that companies need to develop & validate their products.",,,,,001Pp000003MuMoIAK.jpg,,
001Pp00000p2DVHIA2,"actnano, Inc.",Westgate Hospitality Suites,N,"actnano is the magic behind the tech that advanced electronics rely on. Unlike traditional conformal coatings, our advanced PCBA protective technologiescan be applied directly on connectors, antennas, LEDs and high-heat generating components eliminating expensive masking, allowing for full protection while saving time and reducing costs.",,,,,001Pp00000p2DVHIA2.png,,
001Pp00000pEK9fIAG,Adaptive Recognition,50359,X,"Adaptive Recognition is a global leader in recognition technology, specializing in ANPR cameras, speed enforcement systems, ANPR software, and OCR-based ID readers. Our products combine advanced AI and neural networks with exceptional hardware.",,,,,001Pp00000pEK9fIAG.png,,
001Pp000005ASzTIAW,ADM Tech LLC,9563,A,"Tera, based in California, is a leading supplier of barcode scanners, mobile computers, PDAs, cash register drawers, and EV chargers. It is recognized as an Amazon Best Seller and Amazon's Choice for barcode scanners. Its products are renowned by Fortune 500 global enterprises, U.S. government departments, and school districts.",,,,,001Pp000005ASzTIAW.png,,
001Pp00001J2vRlIAJ,Adro Inc.,4675,NN,"ADRO is a specialized aerodynamics engineering company applying motorsport methodologies to vehicle platforms. AOX (Aerodynamic Optimization Experience) is our cloud-native, AI-based CFD software for fully automated, faster aerodynamic optimization and design.",Yes,2;000;001-15;000;000,Series B,501;000-1;000;000,001Pp00001J2vRlIAJ.png,,
0013000001KaM7tAAF,"Advanced Micro Devices, Inc.",Titian 2302; Titian 2303; Titian 2304; Titian 2305; W223,X; X; X; X; EE,"For more than 50 years AMD has driven innovation in high-performance computing, graphics and visualization technologies. Billions of people, leading Fortune 500 businesses and cutting-edge scientific research institutions around the world rely on AMD technology daily to improve how they live, work and play.",No,,,,0013000001KaM7tAAF.jpg,,
001Pp00000QVXU2IAP,Adw Sensor Corp.,10529,A,"ADW SENSOR is a technology-driven company specializing in the research, design, and sales of intelligent sensors and their applications. ADW's products include vehicle ultrasonic sensors, ultrasonic flow sensors, and distance measuring sensors, mainly applied in automotive electronics, smart meters, and smart home appliances.",,,,,001Pp00000QVXU2IAP.png,,
0013000001JxrGHAAZ,ADWEEK,Orovada 2-3; Plaza Office B,GG; GG,"ADWEEK is the leading source of news and insight serving the brand marketing ecosystem. First published in 1979 and owned by Shamrock Capital since 2020, ADWEEK’s award-winning coverage reaches an engaged audience of professionals across platforms including print, digital, events, podcasts, newsletters, social media and mobile apps.",No,,,,0013000001JxrGHAAZ.png,,
0013A00001VMyVZQA1,Aeva,6919,NN,"Aeva (NYSE: AEVA) is a global technology company brining the next wave of perception to a broad range of applications from automated driving to industrial robotics and beyond. Aeva 4D LiDAR sensors uniquely detect velocity and 3D position simultaneously, allowing autonomous vehicles and robots to make more intelligent and safe decisions.",,,,,0013A00001VMyVZQA1.png,,
0013000001MfOmkAAF,"AG Optics Co., Ltd.",4166,NN,"Our major business areas are lens assembly business and aspheric lens business. AGO’s plastic and glass aspheric lens are used in fields such as consumer electronics, fiber optics, illumination optics, and imaging devices. AG Optics provides ODM products and as well as OEM products for its worldwide customers.",No,,,,0013000001MfOmkAAF.png,,
